Date,Title,Duration,Views,Average Viewers,Peak Viewers,Followers Gained,Chat Messages,Estimated Revenue
2026-04-01 20:00:00,April opening stream,02:45:00,1180,27.8,48,22,358,1620
2026-04-03 21:30:00,Spring chat night,02:10:00,960,23.4,39,16,241,1080
2026-04-06 20:00:00,Practice and Q&A,03:05:00,1320,31.2,55,24,436,1960
2026-04-09 19:30:00,Long game session,03:40:00,1740,38.9,72,35,690,2840
2026-04-11 22:00:00,Late night community talk,02:20:00,890,22.1,36,14,208,920
2026-04-14 20:30:00,Collab warmup,02:55:00,1580,36.8,64,31,524,2520
2026-04-17 21:00:00,Viewer challenge stream,03:15:00,1420,34.6,58,26,471,2190
2026-04-19 19:00:00,Weekend special,04:05:00,2460,52.4,120,61,1048,4860
2026-04-22 20:00:00,Ranked ladder run,03:10:00,1360,33.3,57,23,389,1880
2026-04-24 22:30:00,Short update stream,01:20:00,610,18.4,28,8,117,520
2026-04-27 20:30:00,Community lobby test,02:50:00,1210,29.7,46,19,344,1590
2026-04-29 21:00:00,April closing stream,03:35:00,1810,42.6,81,42,728,3280
